"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"195",12,"Charlie Jones",CIN,"5","1","1","5","0","0","0","0"
"196",12,"Ben Skowronek",PIT,"9.4","5","5","69","0","0","0","0"
"197",12,"Joshua Cephus",JAC,"0","0","0","0","0","0","0","0"
"198",12,"Ihmir Smith-Marsette",NYG,"6","0","0","0","0","0","0","0"
"199",12,"Bo Melton",GB,"18.5","17","8","91","0","8","54","0"
"200",12,"Rakim Jarrett",TB,"16.9","11","9","124","0","0","0","0"
"201",12,"Casey Washington",ATL,"1.9","2","1","14","0","0","0","0"
"202",12,"Simi Fehoko",ARI,"13.6","16","6","106","0","0","0","0"
"203",12,"Trent Sherfield Sr.",DEN,"18.3","10","8","83","1","0","0","0"
"204",12,"Anthony Gould",IND,"2.8","1","1","23","0","0","0","0"
"205",12,"Tim Jones",MIN,"5.6","5","3","41","0","0","0","0"
"206",12,"Dee Eskridge",MIA,"5.9","3","3","44","0","0","0","0"
"207",12,"Velus Jones Jr.",NO,"0.4","1","1","8","0","3","11","0"
"208",12,"Braxton Berrios",HOU,"0","4","0","0","0","0","0","0"
"209",12,"Ryan Miller",TB,"30.8","20","12","128","2","0","0","0"
"210",12,"Tyler Scott",CHI,"1","1","1","5","0","0","0","0"
