,FANTASYPTS,position,relative_value,id,name,sigma,proj_dist,proj_points
101,135.8,TE,1.8846161864397135,TE23,pat-freiermuth,0.1680935870571432,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e2540>,0.0
102,159.4,RB,1.871406751390749,RB35,rhamondre-stevenson,0.16707678696997497,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e2120>,0.0
103,156.7,RB,1.83927923591669,RB38,cam-skattebo,0.1646037621650963,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1940>,0.0
104,136.2,WR,1.826662327807875,WR65,wan'dale-robinson,0.16363257201068904,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e0cb0>,0.0
105,134.9,WR,1.807026813904979,WR31,george-pickens,0.16212112264332013,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e2d50>,0.0
106,153.3,RB,1.7988223645789867,RB22,treveyon-henderson,0.16148958278117512,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e2150>,0.0
107,244.9,QB,1.7812434828042314,QB17,jordan-love,0.1601364432672871,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e09b0>,0.0
108,150.1,RB,1.7607453092023242,RB24,rj-harvey,0.1585585904198375,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e3a40>,0.0
109,149.8,RB,1.7571755852607622,RB29,brian-robinson-jr.,0.15828380988596208,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e3f50>,0.0
110,131.3,WR,1.7526515446354196,WR47,michael-pittman-jr.,0.1579355705490677,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e06b0>,0.0
111,146.6,RB,1.7190985298840997,RB28,kaleb-johnson,0.15535281752462446,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e3b60>,0.0
112,128.1,WR,1.7043179719513666,WR43,deebo-samuel-sr.,0.15421507979862106,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e19d0>,0.0
